Time	S1_A	S1_B	S2_A	S2_B	S3_A	S3_B	S4_A	S4_B
4,24	207	141	266	233	176	101	273	71
4,25	207	141	266	233	176	101	273	71
4,26	207	141	266	233	175	101	273	71
4,28	207	141	266	233	175	88	273	71
4,29	207	141	266	233	175	88	273	71
4,31	207	141	266	233	175	88	273	32
4,32	207	141	266	233	175	88	230	32
4,34	207	141	266	233	175	88	230	32
4,35	207	141	266	231	175	88	230	32
4,37	207	141	266	231	168	88	230	32
4,38	207	141	266	231	168	41	230	32
4,40	207	141	266	231	168	41	230	32
4,41	207	141	266	231	168	41	230	32
4,43	207	141	266	231	168	41	71	32
4,44	207	141	266	231	168	41	71	48
4,46	207	141	266	231	168	41	71	48
4,47	207	141	266	231	168	41	71	48
4,49	207	141	266	218	98	41	71	48
4,50	207	141	265	218	98	17	71	48
4,51	207	141	265	218	98	17	71	48
4,53	207	141	265	218	98	17	90	48
4,54	207	136	265	218	98	17	90	48
4,56	207	136	265	218	98	17	90	102
4,57	207	136	265	218	98	17	90	102
4,59	207	136	265	218	98	17	90	102
4,60	207	136	265	174	29	17	90	102
4,62	207	136	243	174	29	68	90	102
4,63	207	136	243	174	29	68	216	102
4,65	207	136	243	174	29	68	216	102
4,66	207	136	243	174	29	68	216	102
4,68	207	102	243	174	29	68	216	105
4,69	205	102	243	174	29	68	216	105
4,71	205	102	243	174	118	68	216	105
4,72	205	102	243	55	118	99	216	105
4,74	205	102	101	55	118	99	216	105
4,75	205	102	101	55	118	99	256	105
4,76	205	102	101	55	118	99	256	105
4,78	205	102	101	55	118	99	256	105
4,79	205	66	101	55	118	99	256	105
4,81	177	66	101	55	118	99	256	105
4,82	177	66	101	55	173	99	256	105
4,84	177	66	101	142	173	101	256	105
4,85	177	66	113	142	173	101	274	105
4,87	177	66	113	142	173	101	274	105
4,88	177	66	113	142	173	101	274	105
4,90	177	66	113	142	173	101	274	105
4,91	177	66	113	142	173	101	274	105
4,93	177	40	113	142	173	101	274	105
4,94	53	40	113	142	175	102	274	105
4,96	53	40	113	232	175	102	277	105
4,97	53	40	264	232	175	102	277	105
4,99	53	40	264	232	175	102	277	105
5,00	53	40	264	232	175	102	277	105
5,01	53	40	264	232	175	102	277	105
5,03	53	40	264	232	175	102	277	105
5,04	53	116	264	232	175	102	277	105
5,06	163	116	264	232	175	103	277	105
5,07	163	116	264	233	175	103	277	105
5,09	163	116	266	233	175	103	277	105
5,10	163	116	266	233	175	103	277	105
5,12	163	116	266	233	175	103	277	105
5,13	163	116	266	233	175	103	277	105
5,14	163	116	266	233	175	103	277	105
5,16	163	116	266	233	175	102	278	105
5,17	163	141	266	233	175	102	278	105
5,19	207	141	266	233	175	102	278	105
5,20	207	141	266	233	175	102	278	105
5,22	207	141	266	233	175	102	278	105
5,23	207	141	266	233	175	102	278	105
5,25	207	141	266	233	175	102	278	105
5,26	207	141	266	233	175	102	278	105
5,28	207	141	266	233	175	102	278	105
5,29	207	141	266	233	175	102	278	105
5,30	208	141	266	233	175	102	278	106
5,32	208	141	266	233	175	102	278	106
5,33	208	141	266	233	175	102	278	106
5,35	208	141	266	233	175	102	278	106
5,36	208	141	266	233	175	102	278	106
5,38	208	141	266	233	175	102	278	106
5,39	208	141	266	233	175	102	278	106
5,41	208	141	266	233	175	102	278	106
5,42	208	142	266	233	175	102	278	106
5,43	208	142	266	233	175	102	278	106
5,45	208	142	266	233	175	102	278	106
5,46	208	142	266	233	175	102	278	106
5,48	208	142	266	233	175	102	278	106
5,49	208	142	266	233	175	102	278	106
5,51	208	142	266	233	175	102	278	106
5,52	208	142	266	233	175	102	278	106
5,54	208	141	266	233	175	102	278	106
5,55	208	141	266	233	175	102	278	106
5,57	208	141	266	233	175	102	278	106
5,58	208	141	266	233	175	102	278	106
5,59	208	141	266	233	175	102	278	106
5,61	208	141	266	233	175	102	278	106
5,62	208	141	266	233	175	102	278	106
5,64	208	141	266	233	175	102	278	106
5,65	208	140	266	233	175	102	278	106
5,67	208	140	266	233	175	102	278	106
5,68	207	140	266	233	175	102	278	106
5,70	207	140	266	233	175	102	278	106
5,71	207	140	266	233	175	102	278	106
5,72	207	140	266	233	175	102	278	106
5,74	207	140	266	233	175	102	278	106
5,75	207	140	266	233	175	102	278	106
5,77	207	140	266	233	175	102	278	106
5,78	207	137	266	232	175	102	278	106
5,80	207	137	266	232	175	102	278	105
5,81	207	137	266	232	175	102	278	105
5,83	207	137	266	232	175	102	278	105
5,84	207	137	266	232	174	102	278	105
5,86	207	137	266	232	174	102	278	105
5,87	207	137	266	232	174	102	278	105
5,88	207	137	266	232	174	102	277	105
5,90	207	136	266	230	174	102	277	105
5,91	207	136	266	230	174	102	277	106
5,93	207	136	266	230	174	102	277	106
5,94	207	136	266	230	174	102	277	106
5,96	207	136	266	230	174	102	277	106
5,97	207	136	266	230	174	102	277	106
5,99	207	136	266	230	174	102	277	106
6,00	207	136	266	230	174	102	277	106
